,Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary
251,1963-03-15,13:55,"Near Charana, Bolivia",Lloyd Aereo Boliviano,915,Arica - La Paz,Douglas DC-6B,CP-707,43547/204,41.0,41.0,0,"Struck 14,250 ft. Chachacomani Peak. Flight under VFR in IFR conditions in marginal weather conditions with severe turbulence."
257,1963-04-09,06:22,"Durrenasch, Aargau, Switzerland",Swissair,306,Zurich - Geneva,Sud-Aviation Caravelle III,HG-ICV,147,80.0,80.0,0,"Prior to departure from Zurich Airport, the pilot,, without authorization, taxied half way down the runway in order to clear fog. The aircraft then went back to the beginning of the runway and took off only to crash 10 minutes later, 15 miles WSW of Zurich. Braking done during the fog clearing procedure overheated the brakes which led to the wheel flange splitting and a burst tire which damaged a fuel line which caused a fire to start which ultimately led to the loss of control of the aircraft."
250,1963-05-03,18:20,"Camden, Tennesee",Private,-,Kansas City - Dyersburg - Nashville,Piper PA-24-250 Comanche,N7000P,24-2144,4.0,4.0,0,"The plane took off from Dyersburg and flew into a storm. The pilot, Randy Hughes, was not instrument rated, lost control and crashed. The plane was at full throttle in a 45 degree downward attitude when it struck the ground. Singer, Patsy Cline, 30, killed. Also killed were Hawkshaw Hawkins, 39,, Cowboy Copas, 49, and Cline's manager, Randy Hughes, 35. Cline’s friend, Dottie West, offered a ride to Cline. They were to travel  from Kansas City, Kansas, to Nashville. West tried to persuade Cline to ride in the car, believing it was safer. Cline was eager to return home to her children and wanted to take her flight. She refused to ride with West. Cline allegedly told West she was ready if it was her time to leave. Noninstrument pilot attempted visual flight in adverse weather conditions, resulting in a loss of control. Judgment of the pilot in initiating flight in the existing weather conditions."
255,1963-07-27,01:50,"Off Bandra, Maharashtra, India",United Arab Airlines,869,Bangkok - Bombay,de Havilland Comet 4C,SU-ALD,06441,63.0,63.0,0,"The aircraft crashed into the Arabian Sea while on a flight from Tokyo, Japan to Egypt while preparing to land in rain and turbulence. The pilot may have lost control while turning into an area of severe turbulence and heavy rain."
259,1963-08-11,17:59,"Mariehamn, Aaland Island, Finland",Finnair,217,Turku - Mariehamn,Douglas DC-3,OH-LCA,9799,24.0,22.0,0,The aircraft flew below the safe flying altitude and hit trees on the approach line in fog. Wrong indication of the pilot's altimeter during the instrument approach. Landing carried out in below minimum conditions.
261,1963-08-12,20:59,"Elkton, Maryland",Pan American World Airways,214,Washington - Baltimore - Philadelphia,Boeing B-707-121,N709PA,17588/3,81.0,81.0,0,"The airliner was on a flight from Baltimore to Philadelphia. The aircraft was in a holding pattern along with 5 other planes when the control tower received a Mayday message. The plane was seen going down in flames and crashed 10 miles southwest of New Castle, Delaware. The aircraft was struck by lightning.  Lightning induced ignition of fuel tank vapors. Within two weeks after the accident, the FAA ordered lightning discharge wicks to be installed on all commercial jet airliners. The aircraft was named Clipper Tradewind."
258,1963-10-14,11:33,"Jamaica, New York",New York Airways,600,Idlewild - Newark,Boeing Vetrol 107 II helicopter,N6673D,3,6.0,6.0,0,The helicopter crashed to the ground and burned. Fatigue failure of the drive quill shaft due to contamination of the lubrication system in the aft transmission assembly.
260,1963-11-29,18:33,"Ste. Therese de Blainville, Canada",Trans Canada Air Lines,831,Montreal - Toronto,McDonnell Douglas DC-8F-54F,CF-TJN,45654/179,118.0,118.0,0,The aircraft crashed about 5 minutes after leaving Dorval Airport in Montreal. Icing of the pitot system or failure of the vertical gyro or an unprogrammed and unnoticed extension of the Pitch Trim Compensator.
248,1963-12-02,13:48,"Near Miami, Florida",Northwest Orient Airlines,705,Miami - Chicago,Boeing B-720-051B,N724US,18354/224,43.0,43.0,0,"The aircraft crashed 37 miles west-southwest of Miami after penetrating a thunderstorm and encountering severe turbulence. The aircraft initially entered an area of updrafts followed by downdrafts which put the aircraft into a high speed dive. While trying to pull out of the dive, the aircraft broke apart from excessive g forces. The crew is believed to have concentrated on maintaining a given airspeed in an extreme turbulence condition instead of flying attitude. In doing so, excessive stress was applied to the wings which separated from the fuselage. The weather was considerably worse than forecast."
256,1963-12-08,13:19,"Lyon, France",Air Inter,2611,Lille - Lyon,Vickers Viscount 708,F-BGNV,039,20.0,20.0,1,Struck by lightning while on initial approach in a thunderstorm. The accident resulted from exceptionally bad weather conditions in the area where the aircraft was holding at the request of Lyon Approach. The Board did not rule out the possibility of a flash of lightning dazzling the crew and causing temporary blindness or appreciably incapacitating both crew members.
267,1964-01-03,11:29,"Near Zephyr Cove, Nevada",Paradise Airlines,901A,"San Jose, CA - Lake Tahoe",Lockheed 049 Constellation,N86504,2025,85.0,85.0,0,The aircraft crashed into Genoa Peak while attempting to land under VFR conditions after a missed approach and go-around. The captain's decision not to wait until the weather improved or divert to an alternate airport during adverse weather conditions. The pilot's deviation from prescribed VFR flight procedures in attempting a visual landing approach in adverse weather conditions. This resulted in an abandoned approach and geographical disorientation while flying below the minimum altitude prescribed or operations in mountainous areas. The aircraft was named City of Los Angeles.
263,1964-02-21,16:00,"Marawi, Philippines",Philippine Air Lines,946,Cotabato - Malabang - Iligan - Cayagan de Oro,Douglas DC-3,PI-C97,14944/2638,32.0,31.0,0,Struck trees on a mountain ridge and crashed while attempting to land. Continued flight under VFR into IFR conditions.
264,1964-02-25,02:06,"Lake Pontchartrain, New Orleans, Louisiana",Eastern Air Lines,304,Mexico City - New Orleans - New York City,McDonnell Douglas DC-8-21,N8607,45428/61,58.0,58.0,0,"The aircraft crashed into Lake Pontchartrain, 19 miles northeast of New Orleans International Airport, shortly after taking off. Mechanical failure. Uncommanded extension of the pitch trim compensator. Degradation of aircraft stability characteristics in turbulence, because of abnormal longitudinal trim component positions.  Malfunctioning pitch trim compensator."
265,1964-02-27,06:15,"Oita, Japan",Fuji Airlines,902,Kagoshima - Oita,Convair CV-240-0,JA5098,053,42.0,20.0,0,"Ran past end of runway when landing and ran into a lumber pile. Malfunctioning propeller reverser, excessive speed and insufficient  braking."
266,1964-02-29,14:14,"Near Innsbruck, Austria",British Eagle International Airlines,802,London - Innsbruck,Bristol Britannia 312,G-AOVO,13423,83.0,83.0,0,"The aircraft crashed into Mt. Glungezer and then slid down a gorge, 10 miles ESE of the airport while in a holding pattern. The pilot descended below the minimum safe altitude in an apparent attempt to penetrate the overcast flying VFR in IFR conditions."
262,1964-03-02,08:00,"Gainsville, Florida",South Central Airlines,510/3,Gainsville - Jacksonville,Beech D18S,N2999,A-811,10.0,10.0,0,"The aircraft made a steep climb to 200 ft., stalled and crashed striking the departure end of Runway 6. Pilot's failure to properly load the aircraft, resulting  in insufficient elevator effectiveness to reverse an unwanted pitching motion."
270,1964-03-28,22:39,"Mt. Vesuvius, Italy",Alitalia,045,Rome - Napoli,Vickers Viscount 785D,I-LAKE,328,45.0,45.0,0,The plane crashed during  final approach. Failure to discontinue visual approach in the absence of minimum visibility conditions required for the type of maneuvers involved. Abnormally wide initiation of down wind leg which brought the aircraft along an unsafe path in relation to the terrain in the area.
271,1964-03-28,06:00,North PacifiOcean,Private - Facilities Management Co.,-,Honolulu - San Francisco,Douglas C-54A-10-DC,N4726V,10315,9.0,9.0,0,"Disappeared while en route, 1,120 nm W of San Francisco, after the pilot reported in had a bad fire in the No. 2 engine."
272,1964-07-05,06:49,"San Ramon, California",PacifiAir Lines,773,Stockton - San Fransisco,Fairchild F-27A,N2770R,0036,44.0,44.0,0,"The aircraft went into a steep dive and crashed 26 miles from it destinatiion of San Francisco Internatiional Airport. The last message which had to be obtained through laboratory analysis was 'Skipper's shot.  We've been shot.  I was trying to help.'  Francisco Gonzales, a passenger, who had told several people he was going to kill himself, shot both the pilot and co-pilot. Gonzales, 27, a former member of the Philippine yachting team at the 1960 Olympics, had purchased life insurance policies totaling $105,000 prior to the flight."
274,1964-09-07,18:15,"Parrottsville, Tennesee",United Air Lines,823,Philidelphia - Washington - Knoxville - Huntsville,Vickers Viscount 745D,N7405,103,39.0,39.0,0,"The plane crashed 2 miles northeast of Parrottsville after experiencing an uncontrollable fire of unknown origin which started below the passenger floor and eventually involved the passenger cabin. One passenger died after free-falling out of the No. 4 emergency escape window of the plane in an attempt to escape the onboard fire. The ignition source was never determined, but it is thought the plane's battery or something in a passenger's luggage caused the fire.  Testing revealed lethal amounts of CO2 could be discharged into the cockpit instead of the lower baggage compartment. The plane was seen flying erratically and the fire eventually burned through the controls.  It is likely the crew was unconscious by then."
268,1964-10-03,08:22,"Boston, Massachutes",Slick Airways - Cargo,12,New York - Winsor Locks - Boston,Douglas DC-4,N384,18379,3.0,3.0,0,"While on approach, the cargo plane suddenly pitched down and crashed short of the runway. Loss of balancing forces on the horizontal surface of the empennage of the aircraft, due to ice accretion, causing the aircraft to pitch nose down at an altitude too low to effect recovery."
275,1964-11-15,20:25,"Las Vegas, Nevada",Bonanza Airlines,114,Phoenix - Las Vegas,Fairchild F-27A,N745L,0029,29.0,29.0,0,"The aircraft crashed  into rising terrain 9.7 miles south southwest of MCarran Field in a snowstorm during an approach to the airport. Captain's misinterpretation of approach charts leading to premature descent below obstructing terrain. After years of legal court battles, a U.S. District Court Judge concluded that the landing charts provided by Jeppesen were the main cause of the accident."
